ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Degree Field,ID PUMS Degree Field,Slug PUMS Degree Field
310000-390000,Service Occupations,310000,Healthcare Support Occupations,310000,Healthcare Support Occupations,31909X,"Healthcare support workers, all other, including medical equipment preparers",2017,2017,TRUE,TRUE,1100,814.2719682,20936.39273,8630.046201,11,healthcare-support-workers-all-other-including-medical-equipment-preparers,Visual & Performing Arts,50,visual-performing-arts
550000,Military specific occupations,550000,Military specific occupations,550000,Military specific occupations,559830,"Military, rank not specified",2017,2017,TRUE,TRUE,1055,797.4426097,56820.76967,28175.96018,13,military-rank-not-specified,Visual & Performing Arts,50,visual-performing-arts
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,111021,General & operations managers,2017,2017,TRUE,TRUE,13081,2807.863564,75499.83273,10667.39689,140,general-operations-managers,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",530000,Transportation & Material Moving Occupations,537000,Material Moving Occupations,537064,"Packers & packagers, hand",2017,2017,TRUE,TRUE,1640,994.2469601,22365.15854,4632.065792,11,packers-packagers-hand,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",530000,Transportation & Material Moving Occupations,537000,Material Moving Occupations,537062,"Laborers & freight, stock, & material movers, hand",2017,2017,TRUE,TRUE,9685,2416.074566,31370.97615,7282.888922,90,laborers-freight-stock-material-movers-hand,Visual & Performing Arts,50,visual-performing-arts
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,1110XX,Chief executives & legislators,2017,2017,TRUE,TRUE,23435,3758.138532,133029.7364,18938.53412,215,chief-executives-legislators,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",530000,Transportation & Material Moving Occupations,537000,Material Moving Occupations,537051,Industrial truck & tractor operators,2017,2017,TRUE,TRUE,1690,1009.289201,38634.24142,8527.050258,10,industrial-truck-tractor-operators,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",530000,Transportation & Material Moving Occupations,531000-536000,Transportation Occupations,536021,Parking lot attendants,2017,2017,TRUE,TRUE,705,651.8809365,16167.83546,12178.94591,6,parking-lot-attendants,Visual & Performing Arts,50,visual-performing-arts
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,112011,Advertising & promotions managers,2017,2017,TRUE,TRUE,2839,1308.137156,83693.323,25398.77795,29,advertising-promotions-managers,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",530000,Transportation & Material Moving Occupations,531000-536000,Transportation Occupations,533041,Taxi drivers & chauffeurs,2017,2017,TRUE,TRUE,2980,1340.227454,23849.91141,5750.812367,28,taxi-drivers-chauffeurs,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",530000,Transportation & Material Moving Occupations,531000-536000,Transportation Occupations,533030,Driver/sales workers & truck drivers,2017,2017,TRUE,TRUE,7044,2060.506919,43369.47189,22300.392,62,driversales-workers-truck-drivers,Visual & Performing Arts,50,visual-performing-arts
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,112020,Marketing & sales managers,2017,2017,TRUE,TRUE,28493,4143.830269,78770.74987,9010.102381,278,marketing-sales-managers,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",530000,Transportation & Material Moving Occupations,531000-536000,Transportation Occupations,533020,Bus drivers,2017,2017,TRUE,TRUE,2050,1111.600352,32198.44683,11356.48245,28,bus-drivers,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",530000,Transportation & Material Moving Occupations,531000-536000,Transportation Occupations,532031,Flight attendants,2017,2017,TRUE,TRUE,2315,1181.263686,57982.84579,18832.67325,24,flight-attendants,Visual & Performing Arts,50,visual-performing-arts
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,112031,Public relations & fundraising managers,2017,2017,TRUE,TRUE,4378,1624.44945,84926.06304,16443.17107,32,public-relations-fundraising-managers,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",530000,Transportation & Material Moving Occupations,531000-536000,Transportation Occupations,532010,Aircraft pilots & flight engineers,2017,2017,TRUE,TRUE,456,524.2718139,179814.2456,178926.4579,6,aircraft-pilots-flight-engineers,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",530000,Transportation & Material Moving Occupations,531000-536000,Transportation Occupations,531000,Supervisors of transportation & material moving workers,2017,2017,TRUE,TRUE,1316,890.6370729,42019.43465,11662.64018,9,supervisors-of-transportation-material-moving-workers,Visual & Performing Arts,50,visual-performing-arts
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,113011,Administrative services managers,2017,2017,TRUE,TRUE,3011,1347.180259,65056.05845,19232.28608,33,administrative-services-managers,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,5191XX,"Miscellaneous production workers, including semiconductor processors",2017,2017,TRUE,TRUE,5720,1856.796738,37291.3958,8018.380611,58,miscellaneous-production-workers-including-semiconductor-processors,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,519198,Helpersproduction workers,2017,2017,TRUE,TRUE,503,550.6276448,7711.974652,3297.741621,5,helpersproduction-workers,Visual & Performing Arts,50,visual-performing-arts
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,113021,Computer & information systems managers,2017,2017,TRUE,TRUE,8915,2318.047477,95192.86775,17032.52906,98,computer-information-systems-managers,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,519195,"Molders, shapers, & casters, except metal & plastic",2017,2017,TRUE,TRUE,970,764.64385,42891.61237,25773.43745,10,molders-shapers-casters-except-metal-plastic,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,519194,Etchers & engravers,2017,2017,TRUE,TRUE,494,545.6793346,55412.74494,51387.89196,7,etchers-engravers,Visual & Performing Arts,50,visual-performing-arts
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,113031,Financial managers,2017,2017,TRUE,TRUE,10224,2482.390777,107870.6604,29158.50971,107,financial-managers,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,519151,Photographic process workers & processing machine operators,2017,2017,TRUE,TRUE,1853,1056.841221,39875.16892,18551.22288,15,photographic-process-workers-processing-machine-operators,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,519120,Painting workers,2017,2017,TRUE,TRUE,642,622.072967,32453.93769,18249.88523,9,painting-workers,Visual & Performing Arts,50,visual-performing-arts
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,113051,Industrial production managers,2017,2017,TRUE,TRUE,4998,1735.663527,71490.67627,11909.61889,49,industrial-production-managers,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,519111,Packaging & filling machine operators & tenders,2017,2017,TRUE,TRUE,1090,810.562309,32164.1578,23403.7131,6,packaging-filling-machine-operators-tenders,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,519080,"Medical, dental, & ophthalmic laboratory technicians",2017,2017,TRUE,TRUE,461,527.138266,37042.19957,17606.01537,5,medical-dental-ophthalmic-laboratory-technicians,Visual & Performing Arts,50,visual-performing-arts
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,113061,Purchasing managers,2017,2017,TRUE,TRUE,1599,981.7403474,64771.74734,17519.88824,24,purchasing-managers,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,519071,Jewelers & precious stone & metal workers,2017,2017,TRUE,TRUE,1064,800.8367759,26460.45865,12435.17403,11,jewelers-precious-stone-metal-workers,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,519061,"Inspectors, testers, sorters, samplers, & weighers",2017,2017,TRUE,TRUE,2823,1304.445827,72137.46511,48767.42597,33,inspectors-testers-sorters-samplers-weighers,Visual & Performing Arts,50,visual-performing-arts
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,113071,"Transportation, storage, & distribution managers",2017,2017,TRUE,TRUE,2583,1247.766049,58435.99535,16261.59632,23,transportation-storage-distribution-managers,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,519010,"Chemical processing machine setters, operators, & tenders",2017,2017,TRUE,TRUE,812,699.6028654,50784.2266,16205.62112,9,chemical-processing-machine-setters-operators-tenders,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,518031,Water & wastewater treatment plant & system operators,2017,2017,TRUE,TRUE,663,632.1651469,35561.06184,16597.16561,5,water-wastewater-treatment-plant-system-operators,Visual & Performing Arts,50,visual-performing-arts
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,113121,Human resources managers,2017,2017,TRUE,TRUE,6846,2031.34244,85474.8513,24171.51524,68,human-resources-managers,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,51609X,"Miscellaneous textile, apparel, & furnishings workers except upholsterers",2017,2017,TRUE,TRUE,612,607.364732,41949.80065,28365.73302,7,miscellaneous-textile-apparel-furnishings-workers-except-upholsterers,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,516050,"Tailors, dressmakers, & sewers",2017,2017,TRUE,TRUE,1678,1005.699583,34014.99881,19385.62398,15,tailors-dressmakers-sewers,Visual & Performing Arts,50,visual-performing-arts
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,113131,Training & development managers,2017,2017,TRUE,TRUE,1785,1037.268633,77208.4437,22209.4516,15,training-development-managers,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,516031,Sewing machine operators,2017,2017,TRUE,TRUE,1661,1000.592246,34967.77845,8624.650749,16,sewing-machine-operators,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,515112,Printing press operators,2017,2017,TRUE,TRUE,2522,1232.944684,40454.33466,13764.96575,28,printing-press-operators,Visual & Performing Arts,50,visual-performing-arts
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,119013,"Farmers, ranchers, & other agricultural managers",2017,2017,TRUE,TRUE,1866,1060.54191,33142.96677,10823.36268,20,farmers-ranchers-other-agricultural-managers,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,515111,Prepress technicians & workers,2017,2017,TRUE,TRUE,1035,789.8477986,26272.35169,13010.31404,12,prepress-technicians-workers,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,514XXX,"Miscellaneous metal workers & plastic workers, including multiple machine tool setters",2017,2017,TRUE,TRUE,1035,789.8477986,53462.29565,21094.5502,8,miscellaneous-metal-workers-plastic-workers-including-multiple-machine-tool-setters,Visual & Performing Arts,50,visual-performing-arts
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,119021,Construction managers,2017,2017,TRUE,TRUE,5763,1863.762617,96644.75308,21976.51907,60,construction-managers,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,5140XX,"Model makers, patternmakers, & molding machine setters, metal & plastic",2017,2017,TRUE,TRUE,672,636.4413779,60114.13095,33587.9071,8,model-makers-patternmakers-molding-machine-setters-metal-plastic,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,514041,Machinists,2017,2017,TRUE,TRUE,613,607.8607405,34060.74062,9168.239836,6,machinists,Visual & Performing Arts,50,visual-performing-arts
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,119030,Education administrators,2017,2017,TRUE,TRUE,26932,4028.742105,71708.63508,8720.374739,294,education-administrators,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,513092,Food batchmakers,2017,2017,TRUE,TRUE,324,441.9231855,12571.20139,7237.920657,5,food-batchmakers,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,513020,"Butchers & other meat, poultry, & fish processing workers",2017,2017,TRUE,TRUE,909,740.2107091,35061.0055,17135.20143,8,butchers-other-meat-poultry-fish-processing-workers,Visual & Performing Arts,50,visual-performing-arts
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,119041,Architectural & engineering managers,2017,2017,TRUE,TRUE,1090,810.562309,99938.86972,25895.17631,9,architectural-engineering-managers,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,513011,Bakers,2017,2017,TRUE,TRUE,2949,1333.238388,20429.1041,8185.884248,26,bakers,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,512090,Miscellaneous assemblers & fabricators,2017,2017,TRUE,TRUE,2875,1316.404799,30142.15513,7556.280141,37,miscellaneous-assemblers-fabricators,Visual & Performing Arts,50,visual-performing-arts
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,119051,Food service managers,2017,2017,TRUE,TRUE,9639,2410.330403,40806.65297,8031.475622,89,food-service-managers,Visual & Performing Arts,50,visual-performing-arts
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,119071,Gaming managers,2017,2017,TRUE,TRUE,557,579.4307476,101341.4722,45860.18883,5,gaming-managers,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,512020,"Electrical, electronics, & electromechanical assemblers",2017,2017,TRUE,TRUE,773,682.5954189,33348.30789,8525.620313,7,electrical-electronics-electromechanical-assemblers,Visual & Performing Arts,50,visual-performing-arts
510000-530000,"Production, Transportation, & Material Moving Occupations",510000,Production Occupations,510000,Production Occupations,511011,Firstline supervisors of production & operating workers,2017,2017,TRUE,TRUE,5220,1773.790549,80119.29502,25738.30166,49,firstline-supervisors-of-production-operating-workers,Visual & Performing Arts,50,visual-performing-arts
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,119081,Lodging managers,2017,2017,TRUE,TRUE,3461,1444.343431,55267.01416,26505.55876,24,lodging-managers,Visual & Performing Arts,50,visual-performing-arts
450000-490000,"Natural resources, construction, & maintenance occupations",490000,"Installation, maintenance, & repair occupations",490000,"Installation, maintenance, & repair occupations",4990XX,"Miscellaneous installation, maintenance, & repair workers, including wind turbine service technicians",2017,2017,TRUE,TRUE,1820,1047.388442,59827.49451,19035.77229,19,miscellaneous-installation-maintenance-repair-workers-including-wind-turbine-service-technicians,Visual & Performing Arts,50,visual-performing-arts
450000-490000,"Natural resources, construction, & maintenance occupations",490000,"Installation, maintenance, & repair occupations",490000,"Installation, maintenance, & repair occupations",499071,"Maintenance & repair workers, general",2017,2017,TRUE,TRUE,1235,862.7926206,37341.69393,17604.6783,15,maintenance-repair-workers-general,Visual & Performing Arts,50,visual-performing-arts
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,119111,Medical & health services managers,2017,2017,TRUE,TRUE,4665,1676.848107,82898.33569,15910.71991,52,medical-health-services-managers,Visual & Performing Arts,50,visual-performing-arts
450000-490000,"Natural resources, construction, & maintenance occupations",490000,"Installation, maintenance, & repair occupations",490000,"Installation, maintenance, & repair occupations",499060,Precision instrument & equipment repairers,2017,2017,TRUE,TRUE,2121,1130.685896,39411.62848,12089.55095,13,precision-instrument-equipment-repairers,Visual & Performing Arts,50,visual-performing-arts
450000-490000,"Natural resources, construction, & maintenance occupations",490000,"Installation, maintenance, & repair occupations",490000,"Installation, maintenance, & repair occupations",499052,Telecommunications line installers & repairers,2017,2017,TRUE,TRUE,804,696.1480342,44751.65174,24112.94001,9,telecommunications-line-installers-repairers,Visual & Performing Arts,50,visual-performing-arts
110000-290000,"Management, business, science, & arts occupations",110000-130000,"Management, business, & financial occupations",110000,Management occupations,119141,"Property, real estate, & community association managers",2017,2017,TRUE,TRUE,6598,1994.211493,62853.1167,21331.43065,70,property-real-estate-community-association-managers,Visual & Performing Arts,50,visual-performing-arts
450000-490000,"Natural resources, construction, & maintenance occupations",490000,"Installation, maintenance, & repair occupations",490000,"Installation, maintenance, & repair occupations",49904X,Industrial & refractory machinery mechanics,2017,2017,TRUE,TRUE,738,666.9631731,34146.12466,11467.64156,6,industrial-refractory-machinery-mechanics,Visual & Performing Arts,50,visual-performing-arts
450000-490000,"Natural resources, construction, & maintenance occupations",490000,"Installation, maintenance, & repair occupations",490000,"Installation, maintenance, & repair occupations",499021,"Heating, air conditioning, & refrigeration mechanics & installers",2017,2017,TRUE,TRUE,1071,803.4667697,68555.21195,79987.43557,7,heating-air-conditioning-refrigeration-mechanics-installers,Visual & Performing Arts,50,visual-performing-arts
